n_steps,tiempo_python,tiempo_cython,speedup
100,0.09386491775512695,0.0022995471954345703,40.81886988076724
200,0.3877537250518799,0.008994340896606445,43.11085487077535
300,0.8775289058685303,0.020002365112304688,43.87125727090684
400,1.5435311794281006,0.03522038459777832,43.82493822981892
500,2.3952674865722656,0.053604841232299805,44.68379033513465
600,3.5932066440582275,0.0723264217376709,49.68041495389951
700,4.9691150188446045,0.10146284103393555,48.97472777430528
800,6.482323169708252,0.12403082847595215,52.26380609853851
900,7.891414165496826,0.15765929222106934,50.05359376110551
1000,9.988600254058838,0.19309043884277344,51.730164962710525
1100,12.238652229309082,0.2312014102935791,52.9350241149847
1200,14.102612733840942,0.2804689407348633,50.282261903547514
